item_id,price_usd,original_price_usd,discount_percentage,discount_amount_usd,shipping_cost_usd,date_time
126252184082,176.59,,,,,2024-11-18 12:53:20.040779
126609504641,189.21,,,,48.69,2024-11-18 12:53:20.855147
126251244984,151.35,163.97,8.0,12.62,,2024-11-18 12:53:21.826215
145941572534,126.17,,,,65.41,2024-11-18 12:53:23.573469
126269393309,126.12,,,,54.72,2024-11-18 12:53:24.317662
405299796483,164.02,,,,64.28,2024-11-18 12:53:25.268486
126251821428,138.73,151.35,8.0,12.62,,2024-11-18 12:53:26.607085
126633832697,201.82,,,,65.59,2024-11-18 12:53:27.402210
387576685951,100.93,,,,64.54,2024-11-18 12:53:28.148699
126253194290,176.59,,,,,2024-11-18 12:53:28.822982
113908128471,176.59,,,,70.56,2024-11-18 12:53:29.586944
126251864661,151.35,163.97,8.0,12.62,,2024-11-18 12:53:30.249801
126660326423,189.21,,,,,2024-11-18 12:53:31.265771
126691912537,189.21,,,,,2024-11-18 12:53:32.041337
387576658219,126.17,,,,81.44,2024-11-18 12:53:33.030154
226430854162,138.79,,,,58.32,2024-11-18 12:53:33.883382
176552947234,113.55,,,,64.97,2024-11-18 12:53:34.671140
126576244978,163.97,,,,56.02,2024-11-18 12:53:35.492031
226429257901,567.8,,,,87.38,2024-11-18 12:53:36.266566
126269401725,126.12,,,,54.72,2024-11-18 12:53:38.277169
404811626735,113.5,,,,,2024-11-18 12:53:39.278533
226430977861,100.88,,,,64.54,2024-11-18 12:53:40.032852
116361509500,239.68,,,,76.06,2024-11-18 12:53:41.024853
126271043080,214.44,,,,63.72,2024-11-18 12:53:42.155937
204826921557,252.95,,,,,2024-11-18 12:53:42.821132
116365895658,105.99,,,,42.65,2024-11-18 12:53:43.604894
276407181703,164.03,,,,47.83,2024-11-18 12:53:44.584313
126251803582,151.35,163.97,8.0,12.62,,2024-11-18 12:53:46.083164
364997589516,88.31,,,,71.51,2024-11-18 12:53:46.925850
404378680388,113.5,,,,,2024-11-18 12:53:47.607158
126252210668,176.59,,,,,2024-11-18 12:53:49.243881
114148022484,113.5,,,,68.38,2024-11-18 12:53:51.253507
126576248441,214.44,,,,60.93,2024-11-18 12:53:52.026865
126251904384,151.35,163.97,8.0,12.62,,2024-11-18 12:53:53.682671
126252314731,214.44,,,,63.72,2024-11-18 12:53:54.701380
124673923096,113.5,,,,68.38,2024-11-18 12:53:55.603135
126637246609,151.35,,,,52.26,2024-11-18 12:53:56.369376
126251900268,138.73,151.35,8.0,12.62,,2024-11-18 12:53:57.206462
126251817698,138.73,151.35,8.0,12.62,,2024-11-18 12:53:58.048258
135306760238,80.74,100.93,20.0,20.19,67.94,2024-11-18 12:54:00.044350
146062659996,151.4,,,,61.55,2024-11-18 12:54:04.477416
126635451465,189.21,,,,48.69,2024-11-18 12:54:07.475559
226384749797,252.3,,,,76.38,2024-11-18 12:54:08.290093
126198477731,126.47,,,,,2024-11-18 12:54:09.793810
